CODEGEO,NIVGEO,UNIT_label_fr,UNIT,NA17,OBS_VALUE,NA17_label,DATASET_VERSION,DATASET_NAME,DATA_DATE,SPHEREECO,DOMPUB,SPHEREECO_label,DOMPUB_label
03,DEP,Nombre d'établissements,NBET,C5,410.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,DE,104.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,FZ,1071.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,GZ,2067.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,HZ,251.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,IZ,812.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,JZ,69.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,KZ,424.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,LZ,185.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,MN,1198.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,OQ,1851.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Nombre d'établissements,NBET,RU,914.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,ENS,100633.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,AZ,1045.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,C1,3904.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
03,DEP,Postes salariés dans les établissements,NBSALET,C2,0.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
