code_commune,code_dept,nb_menages,pop_commune,revenu_median,taux_pauvrete,taux_chomage,densite_etablissements,dynamisme_entrepreneurial,inflation_nationale,ipc_national
80105,80,73.0,185.0,23980.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80106,80,77.0,173.0,23970.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80107,80,239.0,635.0,27240.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80109,80,166.0,339.0,19900.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80110,80,214.0,450.0,23410.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80112,80,103.0,239.0,22660.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80113,80,129.0,310.0,23230.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80114,80,146.0,345.0,24430.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80115,80,127.0,290.0,20210.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80116,80,106.0,281.0,23300.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80117,80,62.0,148.0,22300.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80118,80,52.0,115.0,21420.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80119,80,180.0,395.0,24280.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80120,80,220.0,517.0,22790.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80121,80,61.0,148.0,22400.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80122,80,209.0,482.0,21550.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80123,80,149.0,371.0,24430.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80124,80,322.0,724.0,21780.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80126,80,415.0,917.0,22160.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80127,80,324.0,742.0,21570.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
80128,80,63.0,163.0,23540.0,,9.15,2372.283738622888,273.41259452050576,1.64,106.49
