code_commune,nb_menages,nb_personnes,revenu_median,code_dept,annee
01274,244.0,620.0,20810.0,01,2021
01275,988.0,2373.0,30240.0,01,2021
01276,568.0,1585.0,28000.0,01,2021
01277,63.0,129.0,23550.0,01,2021
01280,74.0,145.0,23420.0,01,2021
01281,1636.0,3901.0,37070.0,01,2021
01282,103.0,256.0,25470.0,01,2021
01283,9011.0,21446.0,18340.0,01,2021
01284,288.0,735.0,23270.0,01,2021
01285,496.0,1312.0,29480.0,01,2021
01286,404.0,986.0,26600.0,01,2021
01288,955.0,2345.0,39700.0,01,2021
01289,2786.0,6163.0,24100.0,01,2021
01290,587.0,1337.0,26770.0,01,2021
01291,342.0,836.0,24000.0,01,2021
01293,62.0,147.0,24740.0,01,2021
01294,347.0,824.0,23600.0,01,2021
01295,227.0,621.0,24570.0,01,2021
01296,158.0,371.0,22920.0,01,2021
01297,341.0,943.0,27060.0,01,2021
01298,62.0,142.0,29270.0,01,2021
01299,200.0,505.0,25540.0,01,2021
01301,1140.0,2624.0,25060.0,01,2021
01302,74.0,157.0,24270.0,01,2021
01303,807.0,1746.0,22280.0,01,2021
01304,1191.0,2836.0,22810.0,01,2021
01305,1095.0,2042.0,21070.0,01,2021
01306,725.0,1347.0,21330.0,01,2021
01307,362.0,816.0,22270.0,01,2021
01308,295.0,671.0,41270.0,01,2021
01310,48.0,117.0,24070.0,01,2021
01313,3084.0,7535.0,44430.0,01,2021
01314,739.0,1782.0,25110.0,01,2021
01317,131.0,336.0,24270.0,01,2021
01318,260.0,773.0,29400.0,01,2021
01319,186.0,461.0,25090.0,01,2021
01320,1629.0,3985.0,24890.0,01,2021
01321,333.0,889.0,27570.0,01,2021
01322,1858.0,4893.0,29130.0,01,2021
01323,417.0,969.0,23300.0,01,2021
01325,430.0,1132.0,26270.0,01,2021
01328,204.0,499.0,25220.0,01,2021
01329,75.0,142.0,20680.0,01,2021
01330,78.0,160.0,21390.0,01,2021
01331,76.0,168.0,24030.0,01,2021
01332,328.0,844.0,25800.0,01,2021
01333,1429.0,3295.0,26550.0,01,2021
01334,249.0,662.0,24370.0,01,2021
01335,139.0,382.0,25930.0,01,2021
01336,492.0,1155.0,24070.0,01,2021
01337,554.0,1362.0,23070.0,01,2021
01338,513.0,1198.0,23430.0,01,2021
01339,603.0,1563.0,32220.0,01,2021
01342,194.0,520.0,30350.0,01,2021
01343,737.0,1876.0,24170.0,01,2021
01344,2613.0,6007.0,25580.0,01,2021
01345,981.0,2227.0,23670.0,01,2021
01346,347.0,853.0,24190.0,01,2021
01347,826.0,2190.0,28190.0,01,2021
01348,1226.0,2834.0,23560.0,01,2021
01349,213.0,567.0,26490.0,01,2021
01350,1125.0,2550.0,24380.0,01,2021
01351,643.0,1687.0,23960.0,01,2021
01352,227.0,523.0,23260.0,01,2021
01353,614.0,1656.0,27990.0,01,2021
01354,4661.0,11174.0,30790.0,01,2021
01355,209.0,508.0,24660.0,01,2021
01356,84.0,217.0,25660.0,01,2021
01357,197.0,467.0,21610.0,01,2021
01358,177.0,425.0,23210.0,01,2021
01359,99.0,257.0,25790.0,01,2021
01360,720.0,1798.0,42220.0,01,2021
01361,739.0,1881.0,28140.0,01,2021
01362,299.0,853.0,28910.0,01,2021
01363,797.0,1792.0,24660.0,01,2021
01364,333.0,735.0,22170.0,01,2021
01365,475.0,1149.0,24530.0,01,2021
01366,415.0,1083.0,24930.0,01,2021
01367,315.0,642.0,22270.0,01,2021
01368,327.0,877.0,23300.0,01,2021
01369,385.0,936.0,27390.0,01,2021
01370,957.0,1637.0,19550.0,01,2021
01371,474.0,1191.0,25130.0,01,2021
01372,175.0,411.0,25590.0,01,2021
01373,442.0,1033.0,25030.0,01,2021
01374,806.0,1939.0,25490.0,01,2021
01375,328.0,841.0,25350.0,01,2021
01376,1633.0,3838.0,23570.0,01,2021
01378,1093.0,2840.0,28170.0,01,2021
01379,308.0,764.0,24110.0,01,2021
01380,273.0,573.0,22400.0,01,2021
01381,328.0,837.0,24340.0,01,2021
01382,118.0,304.0,25280.0,01,2021
01383,600.0,1442.0,23200.0,01,2021
01384,974.0,2045.0,20170.0,01,2021
01385,407.0,943.0,27430.0,01,2021
01386,491.0,1127.0,26690.0,01,2021
01387,90.0,254.0,23240.0,01,2021
01388,470.0,968.0,21030.0,01,2021
01389,765.0,1713.0,23920.0,01,2021
01390,476.0,1141.0,24750.0,01,2021
01391,146.0,307.0,22940.0,01,2021
01392,263.0,654.0,27660.0,01,2021
01393,219.0,568.0,25970.0,01,2021
01396,436.0,946.0,21130.0,01,2021
01397,376.0,921.0,41070.0,01,2021
01398,560.0,1476.0,26370.0,01,2021
01399,850.0,2109.0,42330.0,01,2021
01400,60.0,126.0,22970.0,01,2021
01401,765.0,1959.0,42940.0,01,2021
01402,305.0,681.0,22230.0,01,2021
01403,570.0,1303.0,22690.0,01,2021
01404,68.0,126.0,23640.0,01,2021
01405,509.0,1236.0,22670.0,01,2021
01406,76.0,169.0,23480.0,01,2021
01407,434.0,918.0,23780.0,01,2021
01408,280.0,657.0,23210.0,01,2021
01410,131.0,318.0,27530.0,01,2021
01411,121.0,267.0,24340.0,01,2021
01412,234.0,577.0,24630.0,01,2021
01415,198.0,424.0,23340.0,01,2021
01416,433.0,890.0,20410.0,01,2021
01418,411.0,1139.0,30620.0,01,2021
01419,2303.0,5576.0,38950.0,01,2021
01420,788.0,1442.0,20430.0,01,2021
01421,318.0,709.0,22620.0,01,2021
01422,566.0,1342.0,26180.0,01,2021
01423,435.0,1247.0,27870.0,01,2021
01424,658.0,1748.0,31610.0,01,2021
01425,123.0,290.0,25050.0,01,2021
01426,1058.0,2484.0,24280.0,01,2021
01427,2941.0,6780.0,23920.0,01,2021
01428,44.0,122.0,23780.0,01,2021
