code_commune,taux_pauvrete,code_dept,annee
22118,8.0,22,2021
22135,12.0,22,2021
22136,15.0,22,2021
22147,15.0,22,2021
22158,17.0,22,2021
22161,11.0,22,2021
22162,13.0,22,2021
22166,10.0,22,2021
22168,10.0,22,2021
22171,6.0,22,2021
22172,14.0,22,2021
22176,8.0,22,2021
22182,8.0,22,2021
22183,13.0,22,2021
22185,10.0,22,2021
22186,9.0,22,2021
22187,9.0,22,2021
22190,7.0,22,2021
22194,11.0,22,2021
22195,13.0,22,2021
22197,9.0,22,2021
22198,7.0,22,2021
22203,11.0,22,2021
22206,11.0,22,2021
22207,12.0,22,2021
22209,10.0,22,2021
22210,9.0,22,2021
22211,10.0,22,2021
22213,8.0,22,2021
22214,11.0,22,2021
22215,12.0,22,2021
22219,10.0,22,2021
22222,11.0,22,2021
22225,10.0,22,2021
22226,10.0,22,2021
22233,10.0,22,2021
22251,6.0,22,2021
22258,8.0,22,2021
22259,7.0,22,2021
22262,14.0,22,2021
22264,15.0,22,2021
22266,22.0,22,2021
22273,8.0,22,2021
22278,21.0,22,2021
22282,9.0,22,2021
22325,10.0,22,2021
22339,8.0,22,2021
22343,10.0,22,2021
22353,10.0,22,2021
22360,9.0,22,2021
22362,17.0,22,2021
22364,7.0,22,2021
22389,8.0,22,2021
23008,27.0,23,2021
23030,30.0,23,2021
23096,21.0,23,2021
23176,22.0,23,2021
24026,9.0,24,2021
24037,22.0,24,2021
24053,10.0,24,2021
24064,14.0,24,2021
24067,21.0,24,2021
24102,11.0,24,2021
24138,16.0,24,2021
24167,19.0,24,2021
24222,11.0,24,2021
24223,15.0,24,2021
24225,12.0,24,2021
24253,20.0,24,2021
24256,12.0,24,2021
24291,20.0,24,2021
24294,20.0,24,2021
24299,21.0,24,2021
24309,15.0,24,2021
24311,19.0,24,2021
24312,8.0,24,2021
24322,22.0,24,2021
24335,19.0,24,2021
24340,12.0,24,2021
24350,12.0,24,2021
24352,23.0,24,2021
24354,22.0,24,2021
24372,14.0,24,2021
24520,17.0,24,2021
24547,22.0,24,2021
24551,22.0,24,2021
24557,11.0,24,2021
25031,26.0,25,2021
25047,14.0,25,2021
25048,11.0,25,2021
25056,23.0,25,2021
25057,31.0,25,2021
25228,14.0,25,2021
25230,13.0,25,2021
25237,12.0,25,2021
25284,28.0,25,2021
25304,17.0,25,2021
25315,19.0,25,2021
25321,5.0,25,2021
25356,8.0,25,2021
25367,19.0,25,2021
25388,28.0,25,2021
25411,8.0,25,2021
25434,9.0,25,2021
25462,12.0,25,2021
25463,11.0,25,2021
25495,10.0,25,2021
25527,9.0,25,2021
25532,9.0,25,2021
25539,12.0,25,2021
25547,32.0,25,2021
25578,10.0,25,2021
25580,24.0,25,2021
25614,11.0,25,2021
25632,10.0,25,2021
26004,8.0,26,2021
26010,10.0,26,2021
26011,12.0,26,2021
26037,6.0,26,2021
26057,17.0,26,2021
26058,16.0,26,2021
26063,20.0,26,2021
26064,9.0,26,2021
26084,7.0,26,2021
26085,12.0,26,2021
26088,8.0,26,2021
26096,11.0,26,2021
26108,18.0,26,2021
26113,19.0,26,2021
26114,17.0,26,2021
26116,13.0,26,2021
26124,9.0,26,2021
26165,11.0,26,2021
26166,14.0,26,2021
26191,9.0,26,2021
26197,8.0,26,2021
26198,20.0,26,2021
26206,8.0,26,2021
26218,8.0,26,2021
26220,19.0,26,2021
26231,9.0,26,2021
26235,21.0,26,2021
26250,8.0,26,2021
26252,14.0,26,2021
26271,6.0,26,2021
26281,20.0,26,2021
26301,11.0,26,2021
26307,12.0,26,2021
26313,11.0,26,2021
26324,13.0,26,2021
26325,21.0,26,2021
26330,11.0,26,2021
26332,15.0,26,2021
26333,28.0,26,2021
26345,12.0,26,2021
26347,15.0,26,2021
26362,22.0,26,2021
27016,17.0,27,2021
27022,13.0,27,2021
27049,13.0,27,2021
27051,16.0,27,2021
27056,21.0,27,2021
27065,13.0,27,2021
27082,13.0,27,2021
27090,6.0,27,2021
27103,9.0,27,2021
27105,5.0,27,2021
