periode,nb_logements,description,zone,id_serie,annee,mois
2006-05,8000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2006,5
2006-06,7900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2006,6
2006-07,8000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2006,7
2006-08,8100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2006,8
2006-09,8500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2006,9
2006-10,8300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2006,10
2006-11,8200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2006,11
2006-12,8400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2006,12
2007-01,8400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,1
2007-02,8500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,2
2007-03,8400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,3
2007-04,8300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,4
2007-05,8900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,5
2007-06,8900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,6
2007-07,9100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,7
2007-08,9200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,8
2007-09,8900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,9
2007-10,9200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,10
2007-11,9100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,11
2007-12,8900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2007,12
2008-01,8700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,1
2008-02,8500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,2
2008-03,8500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,3
2008-04,8500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,4
2008-05,7800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,5
2008-06,7700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,6
2008-07,7300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,7
2008-08,6900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,8
2008-09,7100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,9
2008-10,7000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,10
2008-11,6800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,11
2008-12,7000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2008,12
2009-01,7100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,1
2009-02,7000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,2
2009-03,6900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,3
2009-04,6800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,4
2009-05,6700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,5
2009-06,6600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,6
2009-07,6500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,7
2009-08,6800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,8
2009-09,6600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,9
2009-10,6600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,10
2009-11,6900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,11
2009-12,6600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2009,12
2010-01,6600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,1
2010-02,6700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,2
2010-03,6500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,3
2010-04,6700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,4
2010-05,7100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,5
2010-06,7100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,6
2010-07,7300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,7
2010-08,7200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,8
2010-09,7300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,9
2010-10,7200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,10
2010-11,7400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,11
2010-12,7700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2010,12
2011-01,7500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,1
2011-02,7900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,2
2011-03,8100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,3
2011-04,7900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,4
2011-05,7800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2011,5
